pilotRank,queueId,priority,score,workstream,productSignal,authoritySignal,normalizedChars,canonicalGroupId,groupSize,sourcePath,combinedPath
48,ingest-1781569954420-190d,P1_CORE_RA_EVIDENCE,296,submission_authority,HnX,CE/MDR,98972,26dd1f5339ee,3,raw/sources/DHF (인허가)/06_(Retrofit) HnX-R1/05_설계개발 검증 및 유효성 확인/08_Cybersecurity/5. A-SBOM-HNXR1_Cybersecurity BOM and evaluation report.pdf,raw/sources/_preprocessed/DHF (인허가)/_combined/db75b5016e9b/5. A-SBOM-HNXR1_Cybersecurity BOM and evaluation report__db75b5016e9b_combined.txt
49,ingest-1781569954419-17dl,P1_CORE_RA_EVIDENCE,296,submission_authority,HnX,FDA,38894,b37b1929f4da,3,raw/sources/DHF (인허가)/09_HnVUE/05_설계개발 검증 및 유효성 확인/07_Software Validation/4.2 [HnVUE] Software Development Plan (A-SDP-HNV).docx,raw/sources/_preprocessed/DHF (인허가)/_combined/790e5d2027dc/4.2 [HnVUE] Software Development Plan (A-SDP-HNV)__790e5d2027dc_combined.txt
50,ingest-1781569954417-160f,P1_CORE_RA_EVIDENCE,296,submission_authority,HnX,FDA,22153,9cd0bda7c333,3,raw/sources/DHF (인허가)/06_(Retrofit) HnX-R1/05_설계개발 검증 및 유효성 확인/08_Cybersecurity/3.1_A-CAV-HNX_Architecture View.pdf,raw/sources/_preprocessed/DHF (인허가)/_combined/2a561f41be2b/3.1_A-CAV-HNX_Architecture View__2a561f41be2b_combined.txt
51,ingest-1781569954418-16xx,P1_CORE_RA_EVIDENCE,296,submission_authority,HnX,FDA,17408,884b7e8e0fef,3,raw/sources/DHF (인허가)/06_(Retrofit) HnX-R1/05_설계개발 검증 및 유효성 확인/08_Cybersecurity/3.1_A-CAV-HNX_Architecture View.docx,raw/sources/_preprocessed/DHF (인허가)/_combined/60928bca6908/3.1_A-CAV-HNX_Architecture View__60928bca6908_combined.txt
52,ingest-1781569954417-15z0,P1_CORE_RA_EVIDENCE,296,submission_authority,HnX,FDA,35023,6b54c5f385cc,2,raw/sources/DHF (인허가)/06_(Retrofit) HnX-R1/05_설계개발 검증 및 유효성 확인/10_Performance/[H&abyz] HnVUE Software Validation Test Kit(Ver.0.0.1).xlsx,raw/sources/_preprocessed/DHF (인허가)/_combined/279126d285d8/[H&abyz] HnVUE Software Validation Test Kit(Ver.0.0.1)__279126d285d8_combined.txt
53,ingest-1781569954418-16sz,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,FDA,33439,6d1082113b85,2,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/05_설계개발 검증 및 유효성 확인/13_PMS & PMCF/3. Periodic Safety Update Report (A-PSUR-002).docx",raw/sources/_preprocessed/DHF (인허가)/_combined/594c501a90e0/3. Periodic Safety Update Report (A-PSUR-002)__594c501a90e0_combined.txt
54,ingest-1781569954420-18ns,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,general,4422,d4c18ff1ec5c,2,"raw/sources/DHF (인허가)/03_A1417MCW, A1717MCW, F1417MCW/05_설계개발 검증 및 유효성 확인/15_규격 Test/5.1. REP031070 [A1417MCW, F1417MCW] (Wireless) EMC Test report_A1.pdf","raw/sources/_preprocessed/DHF (인허가)/_combined/c60886dc1068/5.1. REP031070 [A1417MCW, F1417MCW] (Wireless) EMC Test report_A1__c60886dc1068_combined.txt"
55,ingest-1781569954418-16be,P1_CORE_RA_EVIDENCE,296,submission_authority,HnX,general,78086,fa7247c9e80f,1,raw/sources/DHF (인허가)/06_(Retrofit) HnX-R1/05_설계개발 검증 및 유효성 확인/08_Cybersecurity/cyan 추가에 따른 개정 문서/5. A-SBOM-HNXR1_Cybersecurity BOM and evaluation report.docx,raw/sources/_preprocessed/DHF (인허가)/_combined/3ccfc2d78175/5. A-SBOM-HNXR1_Cybersecurity BOM and evaluation report__3ccfc2d78175_combined.txt
56,ingest-1781569954419-17kz,P1_CORE_RA_EVIDENCE,296,submission_authority,HAD/A/F 1417-1717,FDA,51718,636e4d72513b,1,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/05_설계개발 검증 및 유효성 확인/07_Software Validation/A-TCF-5-010_Software Validation 221201 (Rev.3).docx",raw/sources/_preprocessed/DHF (인허가)/_combined/85e6cdfdfaf2/A-TCF-5-010_Software Validation 221201 (Rev.3)__85e6cdfdfaf2_combined.txt
57,ingest-1781569954377-6za,P1_CORE_RA_EVIDENCE,294,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,35548,f0014e0cc7a0,5,"raw/sources/RA/04_제품별 인허가 진행 문서/04_2G & 3G (A1417MCW, A1717MCW, F1417MCW)/▶ 국내 제조인증/1. 최초/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료/04 성능에 관한 자료/성능시험성적서.pdf",raw/sources/_preprocessed/RA/_combined/e2d0c5c1913d/성능시험성적서__e2d0c5c1913d_combined.txt
58,ingest-1781569954407-vpn,P1_CORE_RA_EVIDENCE,294,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,74832,01a3f5d17e2b,2,"raw/sources/RA/04_제품별 인허가 진행 문서/04_2G & 3G (A1417MCW, A1717MCW, F1417MCW)/▶ CE MDR/230926 기술문서 & 임상평가 보완 리뷰 2 (with 컨설팅)/CE MDR TD 보완_230926/A-TCF-5-153 General Safety and Performance Requirements Checklist (rev.1).docx",raw/sources/_preprocessed/RA/_combined/b670e27d890d/A-TCF-5-153 General Safety and Performance Requirements Checklist (rev.1)__b670e27d890d_combined.txt
59,ingest-1781569954377-79e,P1_CORE_RA_EVIDENCE,294,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,161449,5c110a120ab3,1,raw/sources/RA/04_제품별 인허가 진행 문서/02_ADD (HAD1417MCW)/▶ 국내 제조인증/1.차 KGMP 등록 문서/console sw validation/13. Software Validation Report_KOR_2.1.255.40_201016_완료.pdf,raw/sources/_preprocessed/RA/_combined/ebba3acd7c55/13. Software Validation Report_KOR_2.1.255.40_201016_완료__ebba3acd7c55_combined.txt
60,ingest-1781569954374-49e,P1_CORE_RA_EVIDENCE,294,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,135025,f2e6125adedf,1,"raw/sources/RA/04_제품별 인허가 진행 문서/02_ADD (HAD1417MCW)/▶ 국내 제조인증/1.차 KGMP 등록 문서/Firmware, software validation/Software Validation Report (Doc.No.A-TCF-5-046)_20210113_완료.pdf",raw/sources/_preprocessed/RA/_combined/8a8a7e1d6c50/Software Validation Report (Doc.No.A-TCF-5-046)_20210113_완료__8a8a7e1d6c50_combined.txt
61,ingest-1781569954376-60p,P1_CORE_RA_EVIDENCE,294,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,126137,2d7f3d2c8df3,1,raw/sources/RA/04_제품별 인허가 진행 문서/02_ADD (HAD1417MCW)/▶ 국내 제조인증/1.차 KGMP 등록 문서/console sw validation/13. Software Validation Report_KOR_2.1.255.40_201016_완료.docx,raw/sources/_preprocessed/RA/_combined/c2f9b600d207/13. Software Validation Report_KOR_2.1.255.40_201016_완료__c2f9b600d207_combined.txt
62,ingest-1781569954413-12bb,P1_CORE_RA_EVIDENCE,292,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,44670,d5af5df1fbfa,5,"raw/sources/RA/04_제품별 인허가 진행 문서/04_2G & 3G (A1417MCW, A1717MCW, F1417MCW)/▶ 국내 제조인증/1. 최초/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료/04 성능에 관한 자료/Software 62304 checklist_Ver 221026.xlsx",raw/sources/_preprocessed/RA/_combined/e8bc2f723822/Software 62304 checklist_Ver 221026__e8bc2f723822_combined.txt
63,ingest-1781569954384-eiw,P1_CORE_RA_EVIDENCE,292,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,34835,dfce568f867d,5,"raw/sources/RA/04_제품별 인허가 진행 문서/04_2G & 3G (A1417MCW, A1717MCW, F1417MCW)/▶ 국내 제조인증/1. 최초/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료/04 성능에 관한 자료/(Firmware) Software Development Plan_Rev.0_(A-TCF-5-143).docx",raw/sources/_preprocessed/RA/_combined/32e8863f6bf5/(Firmware) Software Development Plan_Rev.0_(A-TCF-5-143)__32e8863f6bf5_combined.txt
64,ingest-1781569954395-ox9,P1_CORE_RA_EVIDENCE,290,submission_authority,Unclassified,FDA,54216,a3cd0234d0b8,1,raw/sources/RA/05_해외 등록 서류 (영업팀 F-up)/240515 ASPEN IODR FDA 대응/Abyz-FDA-20240515/#Abyz/12. Software Valiadtion Report/Stitching 평가보고서/GoStitching-CER_Clinical Evaluation Report_Rev01_signed_2022.pdf,raw/sources/_preprocessed/RA/_combined/828797048e64/GoStitching-CER_Clinical Evaluation Report_Rev01_signed_2022__828797048e64_combined.txt
65,ingest-1781569954419-179i,P1_CORE_RA_EVIDENCE,290,submission_authority,CYAN,CE/MDR,20843,f628f5cb547f,1,raw/sources/DHF (인허가)/04_G1717CW 외 7종/90_규격 Test report/1. 신청서 및 제출서류/07. Usability 문서/A-SVR-CYN_Software Validation Report (Rev.0 250915).pdf,raw/sources/_preprocessed/DHF (인허가)/_combined/734d2b492980/A-SVR-CYN_Software Validation Report (Rev.0 250915)__734d2b492980_combined.txt
66,ingest-1781569954397-qoz,P1_CORE_RA_EVIDENCE,288,submission_authority,Unclassified,MFDS/domestic,358365,1eedd19dae95,21,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/4. 250429 3차 보완/최종 수정본/03 기술문서 심사에 관한 자료 (Rev)/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/01 전기·기계적 안전에 관한 자료/[G1417 G1717] 60601-1_CB Test Report.pdf,raw/sources/_preprocessed/RA/_combined/9012bd970925/[G1417 G1717] 60601-1_CB Test Report__9012bd970925_combined.txt
67,ingest-1781569954419-17lu,P1_CORE_RA_EVIDENCE,288,submission_authority,HAD/A/F 1417-1717,general,19490,322543af6083,14,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/05_설계개발 검증 및 유효성 확인/14_신뢰성/SGS-R18-2263-EN01_H&Abyz packaged Vibration, drop.pdf","raw/sources/_preprocessed/DHF (인허가)/_combined/8731d72e1e0e/SGS-R18-2263-EN01_H&Abyz packaged Vibration, drop__8731d72e1e0e_combined.txt"
68,ingest-1781569954419-183l,P1_CORE_RA_EVIDENCE,288,submission_authority,HAD/A/F 1417-1717,FDA,16349,9d920d40806b,12,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/05_설계개발 검증 및 유효성 확인/14_신뢰성/SGS-R18-2264-EN01_H&Abyz Unpackaged Vibration, drop.pdf","raw/sources/_preprocessed/DHF (인허가)/_combined/a54c0ea366e2/SGS-R18-2264-EN01_H&Abyz Unpackaged Vibration, drop__a54c0ea366e2_combined.txt"
69,ingest-1781569954419-17fh,P1_CORE_RA_EVIDENCE,288,submission_authority,CYAN,general,3870,691ebe8682cb,10,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/90_규격 Test report/[GT1717C] IEC60601-1 CB Certificate (ed.3.2, CB).pdf","raw/sources/_preprocessed/DHF (인허가)/_combined/7c9f849dfe8b/[GT1717C] IEC60601-1 CB Certificate (ed.3.2, CB)__7c9f849dfe8b_combined.txt"
70,ingest-1781569954375-5lj,P1_CORE_RA_EVIDENCE,288,submission_authority,Unclassified,MFDS/domestic,361518,938d23bc9c45,8,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/4. 250429 3차 보완/최종 수정본/03 기술문서 심사에 관한 자료 (Rev)/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/3. [A-PTR-BLU] 성능시험성적서.pdf,raw/sources/_preprocessed/RA/_combined/b523ce188f2b/3. [A-PTR-BLU] 성능시험성적서__b523ce188f2b_combined.txt
71,ingest-1781569954407-vm6,P1_CORE_RA_EVIDENCE,288,submission_authority,Unclassified,FDA,35098,17160c934ceb,4,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 시험소/06. Usability 보완_250103/13. Software Validation 문서/Software Development Plan_Rev.0_(A-TCF-10-143).docx,raw/sources/_preprocessed/RA/_combined/b5c881d4276f/Software Development Plan_Rev.0_(A-TCF-10-143)__b5c881d4276f_combined.txt
72,ingest-1781569954374-41y,P1_CORE_RA_EVIDENCE,288,submission_authority,Unclassified,MFDS/domestic,361520,fefe012243f7,3,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/2. 250402 보완/1. 보완_250410/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료/04 성능에 관한 자료/3. [A-PTR-BLU] 성능시험성적서.pdf,raw/sources/_preprocessed/RA/_combined/83f0b3df4f8f/3. [A-PTR-BLU] 성능시험성적서__83f0b3df4f8f_combined.txt
73,ingest-1781569954375-4se,P1_CORE_RA_EVIDENCE,288,submission_authority,HAD/A/F 1417-1717,FDA,58533,f422bfc8e098,3,raw/sources/RA/04_제품별 인허가 진행 문서/02_ADD (HAD1417MCW)/▶ FDA/■ 1차 ADD_510(k)_submission_Final_201023.zip/WORD/VOL_007_Appendix F Safety Test Report/007_Attachment 4 Installation & User manual.pdf,raw/sources/_preprocessed/RA/_combined/9c4df424ddbf/007_Attachment 4 Installation & User manual__9c4df424ddbf_combined.txt
74,ingest-1781569954371-1zm,P1_CORE_RA_EVIDENCE,288,submission_authority,Unclassified,MFDS/domestic,361158,c15bbf0df815,1,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/4. 250429 3차 보완/250430 제출/03 기술문서 심사에 관한 자료 (Rev)/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/3. [A-PTR-BLU] 성능시험성적서_250430.pdf,raw/sources/_preprocessed/RA/_combined/41417019ce90/3. [A-PTR-BLU] 성능시험성적서_250430__41417019ce90_combined.txt
75,ingest-1781569954371-1om,P1_CORE_RA_EVIDENCE,288,submission_authority,Unclassified,MFDS/domestic,28627,b1cb43307fc7,1,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/1. 250227_Blue MFDS (신청본)/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료/04 성능에 관한 자료/[G1417 G1717] 성능시험성적서.pdf,raw/sources/_preprocessed/RA/_combined/372b0efef8eb/[G1417 G1717] 성능시험성적서__372b0efef8eb_combined.txt
76,ingest-1781569954389-ioy,P1_CORE_RA_EVIDENCE,286,submission_authority,Unclassified,MFDS/domestic,35098,af72b1e59963,21,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/4. 250429 3차 보완/최종 수정본/03 기술문서 심사에 관한 자료 (Rev)/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/2. SW (Rev)/Software Development Plan_Rev.1_(A-TCF-10-143).docx,raw/sources/_preprocessed/RA/_combined/528897413d65/Software Development Plan_Rev.1_(A-TCF-10-143)__528897413d65_combined.txt
77,ingest-1781569954420-1880,P1_CORE_RA_EVIDENCE,286,submission_authority,HAD/A/F 1417-1717,general,26962,c3f015031b99,13,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/05_설계개발 검증 및 유효성 확인/11_Clinical Evaluation/LITERATURE/6. Comparison of the perceived image quality.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/ac7b54c2e468/6. Comparison of the perceived image quality__ac7b54c2e468_combined.txt
78,ingest-1781569954372-2jc,P1_CORE_RA_EVIDENCE,286,submission_authority,Unclassified,MFDS/domestic,5915,2dc9b859df62,10,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/4. 250429 3차 보완/최종 수정본/03 기술문서 심사에 관한 자료 (Rev)/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. Cybersecurity/Requirements for Cybersecurity of Medical Devices  .docx,raw/sources/_preprocessed/RA/_combined/5280a4ba58c5/Requirements for Cybersecurity of Medical Devices__5280a4ba58c5_combined.txt
79,ingest-1781569954392-mf4,P1_CORE_RA_EVIDENCE,286,submission_authority,Unclassified,MFDS/domestic,43699,02519fb735ad,8,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/4. 250429 3차 보완/최종 수정본/03 기술문서 심사에 관한 자료 (Rev)/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/2. SW (Rev)/Software Development Plan_Rev.1_(A-TCF-10-143).pdf,raw/sources/_preprocessed/RA/_combined/6ed4fba8e5fc/Software Development Plan_Rev.1_(A-TCF-10-143)__6ed4fba8e5fc_combined.txt
80,ingest-1781569954377-7mu,P1_CORE_RA_EVIDENCE,286,submission_authority,Unclassified,MFDS/domestic,5931,c93637c2d3e7,7,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/4. 250429 3차 보완/최종 수정본/03 기술문서 심사에 관한 자료 (Rev)/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. Cybersecurity/Requirements for Cybersecurity of Medical Devices  .pdf,raw/sources/_preprocessed/RA/_combined/f7cdb04c346b/Requirements for Cybersecurity of Medical Devices__f7cdb04c346b_combined.txt
81,ingest-1781569954419-17hb,P1_CORE_RA_EVIDENCE,286,submission_authority,CYAN,MFDS/domestic,22524,fab1d14ab1f5,4,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/3. 보완(제출)★/★보완제출문서/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. [G series] 성능시험성적서 (A-PTR-BLU).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/7fc4808253ea/1. [G series] 성능시험성적서 (A-PTR-BLU)__7fc4808253ea_combined.txt
82,ingest-1781569954418-172t,P1_CORE_RA_EVIDENCE,286,submission_authority,CYAN,MFDS/domestic,14112,b2c0f16fd821,4,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/3. 보완(제출)★/★보완제출문서/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/2. [GT series] 성능시험성적서 (A-PTR-CYN).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/6873674148f4/2. [GT series] 성능시험성적서 (A-PTR-CYN)__6873674148f4_combined.txt
83,ingest-1781569954391-l6s,P1_CORE_RA_EVIDENCE,286,submission_authority,HAD/A/F 1417-1717,FDA,25625,1f471eb00ce3,3,raw/sources/RA/04_제품별 인허가 진행 문서/02_ADD (HAD1417MCW)/▶ FDA/■ 1차 ADD_510(k)_submission_Final_201023.zip/WORD/VOL_007_Appendix F Safety Test Report/006_Attachment 3 IEC 60601-1-6 Test report (No. 397950_1).pdf,raw/sources/_preprocessed/RA/_combined/65bb26c1d551/006_Attachment 3 IEC 60601-1-6 Test report (No. 397950_1)__65bb26c1d551_combined.txt
84,ingest-1781569954417-15em,P1_CORE_RA_EVIDENCE,286,submission_authority,HAD/A/F 1417-1717,FDA,25664,94c185eff942,2,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/05_설계개발 검증 및 유효성 확인/10_Performance/EN 62220-1-1 DQE Test report rev1 20200310.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/08ad2957ae77/EN 62220-1-1 DQE Test report rev1 20200310__08ad2957ae77_combined.txt
85,ingest-1781569954418-16mv,P1_CORE_RA_EVIDENCE,286,submission_authority,CYAN,MFDS/domestic,12138,04756677a432,2,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/1. 신청시 제출본/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. [G series] 성능시험성적서 (A-PTR-BLU).docx",raw/sources/_preprocessed/DHF (인허가)/_combined/4f77203fe59b/1. [G series] 성능시험성적서 (A-PTR-BLU)__4f77203fe59b_combined.txt
86,ingest-1781569954419-1848,P1_CORE_RA_EVIDENCE,286,submission_authority,CYAN,MFDS/domestic,7827,2423cfd7fe7c,2,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/1. 신청시 제출본/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/2. [GT series] 성능시험성적서 (A-PTR-CYN).docx",raw/sources/_preprocessed/DHF (인허가)/_combined/a641f38680f6/2. [GT series] 성능시험성적서 (A-PTR-CYN)__a641f38680f6_combined.txt
87,ingest-1781569954373-38d,P1_CORE_RA_EVIDENCE,286,submission_authority,Unclassified,MFDS/domestic,5923,21db3d995f5d,2,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/2. 250402 보완/1. 보완_250410/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료/04 성능에 관한 자료/1. Cybersecurity/Requirements for Cybersecurity of Medical Devices.docx,raw/sources/_preprocessed/RA/_combined/695ca9fcaa94/Requirements for Cybersecurity of Medical Devices__695ca9fcaa94_combined.txt
88,ingest-1781569954386-fqn,P1_CORE_RA_EVIDENCE,286,submission_authority,Unclassified,MFDS/domestic,43733,566f9a6b3b58,1,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/3. 250424 2차 보완/03 기술문서 심사에 관한 자료 (Rev)/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/2. SW (Rev)/Software Development Plan_Rev.0_(A-TCF-10-143).pdf,raw/sources/_preprocessed/RA/_combined/3c43571e9402/Software Development Plan_Rev.0_(A-TCF-10-143)__3c43571e9402_combined.txt
89,ingest-1781569954371-1sv,P1_CORE_RA_EVIDENCE,286,submission_authority,Unclassified,MFDS/domestic,42378,11d5ac164b7e,1,raw/sources/RA/04_제품별 인허가 진행 문서/05_Blue (G1417MCW 외 7종)/▶ 국내 제조인증/1. 250227_Blue MFDS (신청본)/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료/04 성능에 관한 자료/Blue 사이버보안 체크리스트 250225.xlsx,raw/sources/_preprocessed/RA/_combined/3acbadd0c2c4/Blue 사이버보안 체크리스트 250225__3acbadd0c2c4_combined.txt
90,ingest-1781569954419-1794,P1_CORE_RA_EVIDENCE,286,submission_authority,HAD/A/F 1417-1717,general,39265,3c47d0d74b55,1,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/03_설계개발 출력/02_CCL 및 승인원/승인원/기구/환경자료/동인산업/H&Abyz MSDS& 시험성적서/DNA-700 세틴톤 VR실버_MSDS.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/72b4e5157384/DNA-700 세틴톤 VR실버_MSDS__72b4e5157384_combined.txt
91,ingest-1781569954418-16vu,P1_CORE_RA_EVIDENCE,286,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,26850,9abd2c7a94f7,1,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/03_설계개발 출력/02_CCL 및 승인원/승인원/기구/환경자료/동인산업/H&Abyz MSDS& 시험성적서/MSDS A6061.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/5ded6ef2d8a2/MSDS A6061__5ded6ef2d8a2_combined.txt
92,ingest-1781569954417-15x7,P1_CORE_RA_EVIDENCE,286,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,23097,f9307b3f8402,1,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/03_설계개발 출력/02_CCL 및 승인원/승인원/기구/환경자료/동인산업/H&Abyz MSDS& 시험성적서/실리콘 시트_RM-2 MSDS.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/24aea293cf88/실리콘 시트_RM-2 MSDS__24aea293cf88_combined.txt
93,ingest-1781569954419-181w,P1_CORE_RA_EVIDENCE,286,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,18769,f536537bdcd7,1,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/03_설계개발 출력/02_CCL 및 승인원/승인원/기구/환경자료/동인산업/H&Abyz MSDS& 시험성적서/MSDS+(C3604)+GHS_13.04.12.(압입팸).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/a28ef5af7158/MSDS+(C3604)+GHS_13.04.12.(압입팸)__a28ef5af7158_combined.txt
94,ingest-1781569954417-15zx,P1_CORE_RA_EVIDENCE,286,submission_authority,HnVUE,FDA,14044,bee4bb67da71,1,raw/sources/DHF (인허가)/09_HnVUE/92_인증 - FDA/참고샘플 - Aspenview/AspenStitching Cybersecurity Risk Management - Security Labeling.pdf,raw/sources/_preprocessed/DHF (인허가)/_combined/2956fe6566b6/AspenStitching Cybersecurity Risk Management - Security Labeling__2956fe6566b6_combined.txt
95,ingest-1781569954420-18ku,P1_CORE_RA_EVIDENCE,286,submission_authority,HAD/A/F 1417-1717,MFDS/domestic,12644,1fa5c06a6bf6,1,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/03_설계개발 출력/02_CCL 및 승인원/승인원/기구/환경자료/동인산업/H&Abyz MSDS& 시험성적서/304_KOR_v0.0 _MSDS.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/c1ae5a7c6b4a/304_KOR_v0.0 _MSDS__c1ae5a7c6b4a_combined.txt
96,ingest-1781569954420-18yk,P1_CORE_RA_EVIDENCE,286,submission_authority,CYAN,MFDS/domestic,12152,9a0c7ff3eb08,1,"raw/sources/DHF (인허가)/07_(CYAN) GT1717C, GT1717CP/91_인증 - 국내/02. G series + CYAN/2. 보완(준비본)/보완제출_예정)/03 기술문서 심사에 관한 자료/03 제품의 성능 및 안전을 확인하기 위한 자료 (Rev)/04 성능에 관한 자료 (Rev)/1. [G series] 성능시험성적서 (A-PTR-BLU).docx",raw/sources/_preprocessed/DHF (인허가)/_combined/d8aa0bbc7e47/1. [G series] 성능시험성적서 (A-PTR-BLU)__d8aa0bbc7e47_combined.txt
97,ingest-1781569954420-18xz,P1_CORE_RA_EVIDENCE,286,submission_authority,HAD/A/F 1417-1717,general,10790,da617ff148b4,1,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/03_설계개발 출력/02_CCL 및 승인원/승인원/기구/환경자료/동인산업/H&Abyz MSDS& 시험성적서/MSDS-tesa_4972_(GB).pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/d7b02db44e81/MSDS-tesa_4972_(GB)__d7b02db44e81_combined.txt
98,ingest-1781569954420-18v9,P1_CORE_RA_EVIDENCE,286,submission_authority,HAD/A/F 1417-1717,general,8977,bad6f59e0007,1,"raw/sources/DHF (인허가)/01_HAD1717MC, MG/03_설계개발 출력/02_CCL 및 승인원/승인원/기구/환경자료/동인산업/H&Abyz MSDS& 시험성적서/무전해니켈/NIPRO 1000 A.pdf",raw/sources/_preprocessed/DHF (인허가)/_combined/d1bc9ebb01cd/NIPRO 1000 A__d1bc9ebb01cd_combined.txt
